ID,Condition,AgeInYear,Gender,Race,CompreWrongTimes,JudgmentForced,Judgment,PreferenceForced,Preference,Punish,Collaborate,Alone
1,Impact,4.65,1,(Asian American),1,1,4,1,4,1,1,0
2,Impact,4.32,1,White,1,1,4,1,4,0,1,0
3,Impact,5.20,0,White,0,1,4,1,4,1,1,0
4,No Impact,5.14,0,(Asian American),1,1,4,1,4,0,1,0
5,No Impact,5.92,1,Hispanic,1,1,3,1,4,0,1,0
6,Impact,4.22,1,(Asian),2,0,1,0,1,0,0,0
7,No Impact,5.29,0,White,0,1,4,1,4,0,1,0
8,No Impact,5.24,0,White,1,1,4,1,4,1,1,0
9,Impact,4.07,1,(White),0,0,1,1,4,1,1,1
10,No Impact,4.81,0,White,0,1,4,1,4,0,1,0
11,No Impact,4.07,0,White,1,1,4,1,4,0,1,0
12,No Impact,5.76,0,(White),0,1,4,1,4,1,0,0
13,No Impact,4.31,0,(White),1,1,4,1,4,1,0,0
14,Impact,4.88,0,White,2,0,1,0,2,0,0,0
15,No Impact,5.34,0,White,0,1,4,1,4,0,1,0
16,Impact,5.46,0,(Hispanic),1,1,4,1,4,0,1,0
17,No Impact,5.03,0,(White),1,1,4,1,4,0,1,0
18,Impact,4.30,1,Mixed,1,1,4,1,4,0,1,0
19,Impact,5.15,1,(Hispanic),0,1,4,1,4,0,1,1
20,Impact,5.15,1,(Hispanic),2,1,3,1,4,1,1,0
21,Impact,4.60,0,White,0,1,3,0,1,1,0,1
22,No Impact,4.11,1,Hispanic,1,1,3,0,1,1,0,0
23,No Impact,5.32,1,(Asian),0,1,4,1,4,0,1,0
24,Impact,4.49,1,(Asian),1,1,4,1,4,0,1,0
25,Impact,4.67,0,White,1,1,4,1,4,0,1,0
26,No Impact,5.03,0,White,0,1,4,1,4,0,1,0
27,No Impact,5.36,0,White,0,1,4,1,4,0,1,0
28,No Impact,5.58,0,White,3,1,4,1,4,0,1,0
29,Impact,4.73,0,African,0,1,4,1,4,0,1,0
30,Impact,4.30,0,(White),2,0,1,0,2,0,1,0
31,No Impact,5.93,0,White,3,1,4,0,2,0,1,0
32,Impact,4.78,0,(Asian),0,1,4,1,4,0,1,0
33,Impact,5.86,0,White,1,0,1,0,1,1,0,0
34,Impact,4.78,0,(White),1,1,4,0,2,1,0,0
35,No Impact,4.33,0,Asian,0,1,4,1,4,1,0,0
36,No Impact,5.33,0,(White),2,1,4,1,4,1,0,0
37,No Impact,4.34,1,Asian,4,0,1,0,1,1,0,0
38,Impact,4.08,1,(Hispanic),0,1,4,0,1,0,0,0
39,Impact,5.50,0,White,0,1,4,1,4,0,1,0
40,Impact,5.39,0,(White),0,1,4,1,4,0,1,0
41,Impact,5.69,0,White,1,0,2,1,4,0,1,0
42,No Impact,5.40,0,White,1,1,4,1,4,0,1,1
43,Impact,5.67,1,(White),0,1,4,1,4,0,1,0
44,No Impact,4.54,1,White,1,0,1,1,3,0,1,0
45,Impact,4.33,1,White,2,1,4,1,4,1,1,0
46,No Impact,4.88,0,(Mixed),0,1,4,1,4,0,1,1
47,No Impact,5.84,0,(White),1,1,4,1,4,0,1,0
48,No Impact,4.37,0,White,0,1,4,0,2,0,0,0
