ID,Study,AgeinMonths,AgeCentered,AgeCat,AgeCatCentered,Gender,Race,Order,Original_FR_Judgment,Original_Con_Judgment,Original_FR_Preference,Original_Con_Preference,Original_FR_NoCostPunish,Original_Con_NoCostPunish,Original_FR_CostlyPunish,Original_Con_CostlyPunish,Original_FR_RewardDecision,Original_Con_RewardDecision,Original_FR_RewardGiven,Original_Con_RewardGiven,Comparison_FR_Judgment,Comparison_Con_Judgment,Comparison_FR_Preference,Comparison_Con_Preference,Comparison_FR_NoCostPunish,Comparison_Con_NoCostPunish,Comparison_FR_CostlyPunish,Comparison_Con_CostlyPunish,Comparison_FR_RewardDecision,Comparison_Con_RewardDecision,Comparison_FR_RewardGiven,Comparison_Con_RewardGiven
101,1,72.93333333,-30.96458334,2,1,0,1,5,2,4,1,3, , , , , , , , ,4,3,3,2, , , , , , , , 
102,1,73.43333333,-30.46458334,2,1,1,4,3,2,3,2,3, , , , , , , , ,2,3,2,3, , , , , , , , 
103,1,74.93333333,-28.96458334,2,1,0,1,4,1,1,1,4, , , , , , , , ,1,4,1,1, , , , , , , , 
104,1,75.9,-27.99791667,2,1,1,1,8,3,4,4,4, , , , , , , , ,4,4,4,4, , , , , , , , 
105,1,76.3,-27.59791667,2,1,0,1,7,1,4,2,4, , , , , , , , ,1,4,2,4, , , , , , , , 
106,1,76.9,-26.99791667,2,1,0,1,8,1,4,4,4, , , , , , , , ,2,4,3,4, , , , , , , , 
107,1,89.23333333,-14.66458334,2,1,1,5,1,1,4,2,4, , , , , , , , ,3,4,3,4, , , , , , , , 
108,1,91.16666667,-12.73125,2,1,1,1,2,2,4,2,4, , , , , , , , ,4,4,4,4, , , , , , , , 
109,1,95.13333333,-8.764583335,2,1,1,5,8,2,3,2,4, , , , , , , , ,2,3,2,4, , , , , , , , 
110,1,98.56666667,-5.331249995,2,1,0,3,3,2,4,2,4, , , , , , , , ,2,4,2,4, , , , , , , , 
111,1,102.6333333,-1.264583365,2,1,1,4,2,1,4,1,4, , , , , , , , ,2,4,2,4, , , , , , , , 
112,1,103.3333333,-0.564583365,2,1,0,1,2,1,4,2,4, , , , , , , , ,3,4,3,4, , , , , , , , 
113,1,103.3666667,-0.531249965,2,1,1,3,4,2,4,2,4, , , , , , , , ,2,4,2,4, , , , , , , , 
114,1,103.4666667,-0.431249965,2,1,0,1,7,3,4,3,4, , , , , , , , ,4,4,4,3, , , , , , , , 
115,1,104.2666667,0.368750035,2,1,0,1,5,2,4,2,4, , , , , , , , ,2,4,4,4, , , , , , , , 
116,1,104.7,0.802083335,2,1,0,1,5,2,4,3,4, , , , , , , , ,1,4,3,4, , , , , , , , 
117,1,106.2,2.302083335,2,1,1,1,6,2,4,2,4, , , , , , , , ,3,4,3,4, , , , , , , , 
118,1,106.3333333,2.435416635,2,1,1,1,3,2,4,2,4, , , , , , , , ,3,4,3,4, , , , , , , , 
